Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1228,,,,-0.03125,0.025390625,-0.99609375,0.001113353390028233,0.01641536100762864,12.145819664001465,0.41415128111839294,1017,1023,5.030206774079176,0.11932557260442933,2.372180269394054,0.13756783771779113,0.0032633571033734727,0.259765625,,
0,1228,,,,-0.0078125,-0.005859375,-0.9609375,0.00113843966525327,0.019050105636521063,12.138120651245117,0.3641510009765625,1017,1019,4.420108785125194,0.12142438412167161,2.747090400360642,0.1568886329901593,0.004309872576129706,0.2578125,,
0.024890000000596046,1228,,,,0.0625,0.1171875,-1.033203125,0.0011725472185301605,0.025751111343720753,12.133142471313477,0.2699497640132904,1017,1017,3.275338946870704,0.12489380765342625,3.813156735206022,0.20618405209631158,0.007862121069431197,0.2578125,,
0.195125,1228,,,,-0.111328125,0.04296875,-0.90625,0.0010354563082387816,0.0175934437881355,12.144500732421875,0.3863525390625,1017,1017,4.692058693617582,0.1102685896945228,2.3501110470872133,0.1595508189310722,0.003749621421417245,0.2578125,,
0.22049500000011177,1228,,,,0.01171875,-0.005859375,-0.998046875,0.0011183095938788632,0.02296945367940545,12.137656211853027,0.3560243844985962,1018,1018,4.321301582080537,0.11917337575353322,2.757812050140595,0.19273980898979828,0.005315401677738622,0.259765625,,
0.2463500000005588,1228,,,,-0.2734375,0.072265625,-0.818359375,0.001039538496686523,0.017660127719107587,12.137001037597656,0.421142578125,1017,1019,5.111407907679677,0.1109173220284109,2.16999550870832,0.15921884333435343,0.0034550417493728063,0.259765625,,
0.2683650000002235,1228,,,,0.07421875,0.009765625,-1,0.0011924316431378996,0.01804911731644476,12.132500648498535,0.2978515625,1016,1018,3.613684275187552,0.12714163432977335,3.518338201340919,0.14196071500567548,0.00499465806694139,0.259765625,,
0.29265000000037256,1228,,,,-0.0234375,-0.10546875,-0.93359375,0.0011673941088712367,0.020483080796925915,12.141143798828125,0.3048270046710968,1017,1018,3.700948497477839,0.12442399462079733,3.3619488275935505,0.16462323733739212,0.005534548997611001,0.2578125,,
0.316660000000149,1228,,,,-0.125,0.171875,-0.982421875,0.0009933403473865294,0.01601525742179612,12.138501167297363,0.5230712890625,1018,1017,6.349301452864893,0.10583361203508565,1.6668544220298762,0.1513248684783317,0.002522365261861966,0.259765625,,
0.34575,1228,,,,-0.0234375,-0.00390625,-0.935546875,0.0011967624183333834,0.01268106087319179,12.133713722229004,0.5001395344734192,1020,1017,6.068549932469352,0.1274018753832111,2.099379205921274,0.09953590427965464,0.002089636076872773,0.2578125,,
0.3681150000002235,1228,,,,0.01953125,0.021484375,-0.966796875,0.006314866340166869,0.025973391113627706,12.134000778198242,0.3427734375,1028,1018,4.1592131573706865,0.6732880146542951,16.18786989700535,0.038576939657783665,0.006244784802048281,0.255859375,,
0.3932750000003725,1228,,,,0.03125,-0.0234375,-0.9140625,0.00043592026760682164,0.027929453088808915,12.129714965820312,0.3104073703289032,1055,1032,3.765152925379425,0.047115842295694266,1.251365966521699,0.592782633780088,0.007417880134574981,0.25390625,,
0.41638000000081954,1228,,,,0.0234375,-0.041015625,-1.02734375,-0.0009492832021050301,0.021883443347339732,12.134000778198242,0.264892578125,1052,1035,3.2142067491076887,0.10284000660115356,3.199545475091279,0.21279115074555302,0.006808349635074004,0.255859375,,
0.44029000000003726,1228,,,,-0.048828125,-0.001953125,-0.9765625,-0.00019646387775373633,0.0193383399819051,12.144572257995605,0.3383091390132904,1043,1041,4.108619784287185,0.02140849101722063,0.5210628420545086,0.9033023376729198,0.00470677283302333,0.25390625,,
