Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1540,,,,0.048828125,-0.513671875,-0.5703125,0.03914533971482599,1.6766340764311718,12.099333763122559,4.43359375,4553,4552,53.643530551344156,18.65903120126513,34.783376503166394,0.08985643779391353,0.03125510307019045,2.36328125,,
0,1540,,,,0.4375,0.58984375,-1.00390625,0.03890697366920709,1.6876480390300617,12.096571922302246,4.718192100524902,4556,4554,57.07395008723779,18.554682222777334,32.50989671192623,0.09095537281464948,0.029569497755989976,2.36328125,,
0.026659999998286367,1540,,,,-0.4609375,-0.3125,-1.119140625,0.03934057519117477,1.6885705000751754,12.097715377807617,4.3631415367126465,4568,4562,52.78404446423974,18.795485970494294,35.60827170647733,0.08983915088580008,0.03199016894620783,2.380859375,,
0.05190000000037253,1540,,,,0.349609375,-0.1484375,-0.78125,0.039883913022955804,1.697528374802426,12.096000671386719,4.454752445220947,4564,4565,53.884688568254205,19.067351681196506,35.38547254855975,0.08902800992947876,0.031502982014124756,2.40625,,
0.0757649999987334,1540,,,,-0.0625,-0.34765625,-1.236328125,0.038599709549747785,1.6927604737379216,12.096000671386719,4.4671630859375,4562,4563,54.034807686693966,18.444447621627305,34.134381912807726,0.09177615445382332,0.031327223066156346,2.3984375,,
0.09936499999836088,1540,,,,0.673828125,0.25390625,-0.845703125,0.03881565276330561,1.6829023659425482,12.096571922302246,4.453822612762451,4560,4561,53.875985564457096,18.537621371552532,34.40794850866193,0.09078308010568696,0.03123659545734208,2.392578125,,
0.1252599999997765,1540,,,,0.34375,-1.37109375,-0.87109375,0.038996247332589676,1.6733665638135398,12.100500106811523,4.468994140625,4561,4561,54.077064075972885,18.624186134391177,34.4400837076252,0.08984911081421823,0.03094410897497369,2.396484375,,
0.14945999999903142,1540,,,,0.453125,1.04296875,-1.16015625,0.038940836801555474,1.6726663825383328,12.095001220703125,4.48974609375,4559,4560,54.30348448455334,18.594266361516873,34.24138715593108,0.0899560299942848,0.03080219250044855,2.390625,,
0.17711999999918043,1540,,,,0.2109375,-1.208984375,-0.8359375,0.03868830620200456,1.683858168953148,12.097000122070312,4.4580078125,4557,4558,53.92852105200291,18.466142703833935,34.24188600690006,0.09118624262572962,0.031223889253877646,2.390625,,
0.34425,1540,,,,-0.3125,-1.08984375,-0.478515625,0.03876712184256838,1.681361272512812,12.098223686218262,4.45692253112793,4557,4557,53.92084573373177,18.498171694504812,34.3061601552973,0.09089337585791185,0.031182027092371573,2.3984375,,
